"Sample","ERF114","JAZ10","UBQ","delta_Ct_ERF114","delta_Ct_JAZ10"
"cDNA01",31.999,27.188,23.278,8.721,3.91
"cDNA02",31.8846666666667,27.008,23.2403333333333,8.64433333333333,3.76766666666666
"cDNA03",32.7763333333333,27.067,23.1993333333333,9.577,3.86766666666666
"cDNA04",28.0036666666667,26.5926666666667,23.291,4.71266666666667,3.30166666666667
"cDNA05",27.8316666666667,26.478,23.3003333333333,4.53133333333333,3.17766666666666
"cDNA06",28.4053333333333,26.763,23.4703333333333,4.935,3.29266666666667
"cDNA07",32.596,26.1426666666667,23.0766666666667,9.51933333333334,3.066
"cDNA08",32.3306666666667,25.6326666666667,22.8873333333333,9.44333333333333,2.74533333333333
"cDNA09",31.548,26.3,22.9836666666667,8.56433333333333,3.31633333333333
"cDNA10",28.8363333333333,26.5453333333333,23.6183333333333,5.218,2.927
"cDNA11",28.4233333333333,26.351,23.6153333333333,4.808,2.73566666666666
"cDNA12",28.2336666666667,25.7653333333333,23.632,4.60166666666667,2.13333333333333
"cDNA13",32.4693333333333,27.1543333333333,23.528,8.94133333333334,3.62633333333333
"cDNA14",33.299,27.7623333333333,23.643,9.65600000000001,4.11933333333333
"cDNA15",NA,NA,NA,NA,NA
"cDNA16",28.8376666666667,27.123,23.5033333333333,5.33433333333333,3.61966666666667
"cDNA17",28.15,26.82,23.194,4.956,3.626
"cDNA18",28.306,26.517,23.1256666666667,5.18033333333333,3.39133333333333
"cDNA19",32.8036666666667,26.9386666666667,23.288,9.51566666666666,3.65066666666667
"cDNA20",30.773,27.3103333333333,22.7683333333333,8.00466666666667,4.542
"cDNA21",28.3113333333333,26.9566666666667,22.753,5.55833333333333,4.20366666666667
"cDNA22",28.5526666666667,26.5966666666667,23.3373333333333,5.21533333333333,3.25933333333333
"cDNA23",27.4696666666667,25.9876666666667,22.712,4.75766666666667,3.27566666666667
"cDNA24",28.0546666666667,25.9223333333333,NA,NA,NA
